Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1,ACTUALIZACIÓN DE ROM,SERVICIOS,Unidades,,1,, No Tax, inclusive,
2,BÚSQUEDA DE TRABAJO,SERVICIOS,Unidades,,1,, No Tax, inclusive,
3,CAMBIO DE MICROFONO,SERVICIOS,Unidades,,1,, No Tax, inclusive,
4,CAMBIO DE PANTALLA TACTIL,SERVICIOS,Unidades,,1,, No Tax, inclusive,
5,CONFIGURACION DE (APN),SERVICIOS,Unidades,,1,, No Tax, inclusive,
